customer_id,date,quantity,price
1,1/1/1997,1,11.77
2,1/12/1997,1,12
2,1/12/1997,5,77
3,1/2/1997,2,20.76
3,3/30/1997,2,20.76
3,4/2/1997,2,19.54
3,11/15/1997,5,57.45
3,11/25/1997,4,20.96
3,5/28/1998,1,16.99
4,1/1/1997,2,29.33
4,1/18/1997,2,29.73
4,8/2/1997,1,14.96
4,12/12/1997,2,26.48
5,1/1/1997,2,29.33
5,1/14/1997,1,13.97
5,2/4/1997,3,38.9
5,4/11/1997,3,45.55
5,5/31/1997,3,38.71
5,6/16/1997,2,26.14
5,7/22/1997,2,28.14
5,9/15/1997,3,40.47
5,12/8/1997,4,46.46
5,12/12/1997,3,40.47
5,1/3/1998,3,37.47
6,1/1/1997,1,20.99
7,1/1/1997,2,28.74
7,10/11/1997,7,97.43
7,3/22/1998,9,138.5
8,1/1/1997,1,9.77
8,2/13/1997,1,13.97
8,6/17/1997,3,45.29
8,7/3/1997,2,36.76
8,11/16/1997,1,2.99
8,11/16/1997,7,50.43
8,12/25/1997,1,13.99
8,3/29/1998,2,24.46
9,1/1/1997,2,23.54
9,5/13/1997,2,30.33
9,6/8/1998,2,41.98
10,1/21/1997,3,39.31
11,1/1/1997,1,13.49
11,1/28/1997,1,19.3
11,3/17/1997,1,12.77
11,2/20/1998,1,12.99
12,1/1/1997,4,57.06
13,1/1/1997,4,72.94
14,1/1/1997,2,29.92
15,1/1/1997,4,52.87
16,1/1/1997,1,9.77
16,7/13/1997,2,31.6
16,7/26/1997,4,28.51
16,9/10/1997,1,9.99
17,1/1/1997,5,73.22
18,1/4/1997,1,14.96
19,1/1/1997,10,163.35
19,6/10/1997,1,11.77
20,1/1/1997,27,363.6
20,1/18/1997,19,289.41
21,1/1/1997,3,63.34
21,1/13/1997,1,11.77
22,1/1/1997,1,14.37
23,1/1/1997,2,24.74
24,1/1/1997,3,47.28
24,1/20/1998,1,10.49
25,1/1/1997,2,24.96
25,7/18/1997,1,13.9
25,8/17/1997,1,12.25
25,10/24/1997,1,12.99
25,4/17/1998,1,12.99
25,5/25/1998,1,10.49
25,6/3/1998,3,24.97
25,6/8/1998,2,24.98
26,1/1/1997,3,42.72
26,1/26/1997,3,59.97
27,1/7/1997,6,83.41
27,1/12/1997,4,52.46
28,1/1/1997,3,39.51
28,1/27/1997,2,25.74
28,3/8/1997,2,25.74
29,1/1/1997,3,46.72
29,2/6/1997,3,67.31
29,3/9/1997,3,41.1
29,4/5/1997,3,44.52
29,4/20/1997,1,13.97
29,5/4/1997,2,26.14
29,5/30/1997,1,32.45
29,7/13/1997,2,37.65
29,7/13/1997,2,26.74
29,9/6/1997,1,14.79
29,11/2/1997,3,35.97
29,4/26/1998,4,48.45
30,1/1/1997,1,14.37
30,2/14/1997,1,13.97
31,1/1/1997,4,59.06
31,4/7/1998,4,42.89
31,4/9/1998,3,38.06
31,5/25/1998,3,37.04
32,1/1/1997,3,49.97
32,1/24/1997,1,16.36
32,3/11/1998,1,11.88
33,1/1/1997,3,41.69
33,1/21/1997,2,29.92
33,2/16/1997,5,73.42
33,5/2/1997,2,40.74
33,5/14/1997,3,54.25
33,6/1/1997,1,14.96
33,6/4/1997,2,30.13
33,8/29/1997,2,35.69
33,9/6/1997,1,11.77
33,10/2/1997,3,45.47
33,10/3/1997,2,34.98
33,10/5/1997,3,54.97
33,10/13/1997,5,69.45
33,10/19/1997,3,48.97
33,10/31/1997,4,54.46
33,11/6/1997,5,66.45
33,11/9/1997,3,67.47
33,11/10/1997,1,13.99
33,11/18/1997,1,14.49
33,11/23/1997,4,55.96
33,11/25/1997,3,36.97
33,1/13/1998,3,36.97
33,2/27/1998,3,34.47
33,3/5/1998,4,35.35
33,3/13/1998,2,42.48
34,1/1/1997,2,23.14
35,1/1/1997,2,26.73
35,9/27/1997,1,15.49
36,1/1/1997,3,37.91
36,2/3/1997,1,11.77
37,1/29/1997,2,31.26
37,3/6/1997,2,29.13
37,6/28/1997,1,13.97
37,8/16/1997,1,14.37
37,11/2/1997,3,39.47
37,5/13/1998,2,27.48
38,1/1/1997,1,12.49
39,1/1/1997,3,33.33
39,3/13/1997,4,50.68
39,5/14/1997,2,28.93
39,3/5/1998,4,49.55
39,3/11/1998,2,58.96
40,1/1/1997,2,28.34
40,3/8/1997,1,13.97
40,5/3/1997,1,15.96
40,8/30/1997,1,14.96
40,9/14/1997,3,44.47
40,9/14/1997,1,13.99
40,9/14/1997,1,22.99
40,10/25/1997,2,25.98
40,12/13/1997,1,16.99
40,12/14/1997,4,54.96
40,2/15/1998,1,12.58
40,2/15/1998,1,2.99
40,2/25/1998,3,36.34
40,3/8/1998,1,14.42
41,1/1/1997,1,17.99
42,1/1/1997,3,26.55
42,1/2/1997,1,11.77
43,1/1/1997,2,29.33
43,2/16/1997,2,25.74
43,3/1/1997,1,10.77
43,11/28/1997,1,36.99
43,5/24/1998,1,14.49
44,1/1/1997,2,30.32
44,1/4/1997,1,14.37
44,6/19/1997,1,14.96
45,1/1/1997,1,14.37
46,1/1/1997,3,41.53
46,1/25/1997,4,60.11
46,3/16/1997,3,45.09
46,8/9/1997,4,58.07
46,8/24/1997,4,57.11
46,10/2/1997,2,26.98
46,11/12/1997,2,26.98
47,1/1/1997,3,37.91
47,1/5/1997,2,25.74
47,1/26/1997,3,44.97
47,2/16/1997,1,15.37
47,2/23/1997,2,30.92
47,3/9/1997,1,17.96
47,3/9/1997,1,4.79
47,3/16/1997,2,27.94
47,4/6/1997,1,13.97
47,4/7/1997,1,14.79
47,4/19/1997,1,19.97
47,4/23/1997,1,41.77
47,6/15/1997,1,19.99
47,6/22/1997,1,4.79
47,8/9/1997,1,9.99
47,11/1/1997,1,19.49
47,2/25/1998,1,12.99
47,3/18/1998,1,14.49
47,3/22/1998,2,22.98
47,4/14/1998,1,13.99
47,6/6/1998,1,12.99
48,1/1/1997,4,52.72
48,1/26/1997,4,73.5
48,2/10/1997,3,37.93
48,3/23/1997,1,12.49
48,3/25/1997,4,46.5
48,6/9/1997,2,29.92
48,7/30/1997,3,42.85
48,8/15/1997,1,15.36
48,8/24/1997,1,24.37
48,10/14/1997,1,25.49
48,10/17/1997,2,25.98
48,10/20/1997,1,20.99
48,11/3/1997,2,41.98
48,11/11/1997,3,42.47
48,11/24/1997,2,16.98
48,12/4/1997,1,9.49
48,1/9/1998,3,40.47
48,3/22/1998,3,51.47
48,6/8/1998,1,9.49
48,6/13/1998,2,29.48
49,1/1/1997,2,27.94
50,1/1/1997,1,6.79
51,1/27/1997,5,71.42
51,7/7/1997,8,111.93
51,9/1/1997,7,104.6
51,11/29/1997,5,53.95
51,11/29/1997,1,13.99
51,12/1/1997,1,11.49
52,1/2/1997,3,80.95
52,1/6/1997,2,23.14
52,1/19/1997,2,33.98
52,1/22/1997,2,27.74
52,1/29/1997,3,38.33
52,5/18/1997,4,59.84
52,6/21/1997,7,104.72
52,5/8/1998,2,76.98
53,1/1/1997,1,19.99
53,8/19/1997,1,14.37
53,12/10/1997,1,11.49
53,1/27/1998,1,11.88
53,2/9/1998,1,14.49
53,5/4/1998,1,13.99
54,1/1/1997,2,33.96
55,1/1/1997,5,66.09
55,1/10/1997,1,15.36
56,1/1/1997,2,27.73
56,1/17/1997,1,15.96
56,6/1/1997,2,21.54
