customer_id,recency,frequency,price_sum,price_mean,spend_90_flag
1,-455,1,11.77,11.77,20.154734
2,-444,2,89.0,44.5,21.573023
3,-127,5,139.47,27.894,35.60014
4,-110,4,100.5,25.125,34.3946
5,-88,11,385.61,35.055454545454545,56.3772
6,-455,1,20.99,20.99,20.154734
7,-10,3,264.67,88.22333333333334,38.839527
8,-3,8,197.66,24.7075,56.35592
9,-323,2,53.87,26.935,25.114012
10,-435,1,39.31,39.31,20.154734
11,-40,4,58.55,14.6375,38.5306
12,-455,1,57.06,57.06,20.154734
13,-455,1,72.94,72.94,20.154734
14,-455,1,29.92,29.92,20.154734
15,-455,1,52.87,52.87,20.154734
16,-203,4,79.87,19.9675,29.870823
17,-455,1,73.22,73.22,20.154734
18,-452,1,14.96,14.96,20.154734
19,-295,2,175.12,87.56,25.40281
20,-438,2,653.01,326.505,21.483608
21,-443,2,75.11,37.555,21.573023
22,-455,1,14.37,14.37,20.154734
23,-455,1,24.74,24.74,20.154734
24,-71,2,57.77,28.885,29.831451
25,-159,4,64.1,16.025,33.937893
26,-430,2,102.69,51.345,21.483608
27,-444,2,135.87,67.935,21.483608
28,-389,3,90.99,30.33,22.099056
29,-150,11,387.36,35.21454545454546,49.72496
30,-411,2,28.34,14.17,21.573023
31,-455,1,59.06,59.06,20.154734
32,-21,3,78.21,26.07,38.839527
33,-19,25,1045.47,41.8188,63.239998
34,-455,1,23.14,23.14,20.154734
35,-186,2,42.22,21.11,29.135063
36,-422,2,49.67999999999999,24.84,21.573023
37,-150,5,128.2,25.64,35.451935
38,-455,1,12.49,12.49,20.154734
39,-21,5,221.45,44.29,39.819466
40,-24,14,318.94,22.78142857142857,62.206425
41,-455,1,17.99,17.99,20.154734
42,-454,2,38.32,19.16,21.573023
43,-124,4,102.83,25.7075,34.418877
44,-286,3,59.65,19.883333333333333,28.742725
45,-455,1,14.37,14.37,20.154734
46,-140,7,315.87,45.12428571428571,44.257183
47,-10,19,400.82,21.09578947368421,63.67808
48,-10,18,610.96,33.94222222222223,63.67808
49,-455,1,27.94,27.94,20.154734
50,-455,1,6.79,6.79,20.154734
51,-121,6,367.38,61.23,43.498764
52,-284,7,368.7,52.67142857142857,31.784168
53,-51,5,72.22,14.444,39.070145
54,-455,1,33.96,33.96,20.154734
55,-446,2,81.45,40.725,21.573023
56,-105,4,129.19,32.2975,34.3946
57,-455,1,57.86,57.86,20.154734
58,-455,1,20.99,20.99,20.154734
59,-431,3,36.53,12.176666666666668,21.919697
60,-424,1,21.75,21.75,20.154734
61,-455,1,155.65,155.65,20.154734
62,-154,11,237.15,21.55909090909091,49.72496
63,-130,2,71.95,35.975,30.063614
64,-29,10,272.35,27.235000000000003,61.89106
65,-10,3,68.74,22.91333333333333,38.839527
66,-455,1,39.99,39.99,20.154734
67,-439,3,71.49,23.83,21.919697
68,-455,1,40.36,40.36,20.154734
69,-452,2,217.08,108.54,21.483608
70,-455,1,72.23,72.23,20.154734
71,-455,1,13.97,13.97,20.154734
72,-455,1,11.99,11.99,20.154734
73,-381,3,94.57,31.52333333333333,22.214022
74,-455,1,41.99,41.99,20.154734
75,-455,1,69.81,69.81,20.154734
76,-455,1,9.99,9.99,20.154734
77,-455,1,12.97,12.97,20.154734
78,-443,1,41.52,41.52,20.154734
79,-455,1,77.44,77.44,20.154734
80,-455,1,43.46,43.46,20.154734
81,-186,14,430.69,30.763571428571428,35.198486
82,-33,5,202.51,40.502,39.819466
83,-252,3,80.19,26.73,29.796707
84,-455,1,13.97,13.97,20.154734
85,-453,1,26.31,26.31,20.154734
86,-455,1,23.94,23.94,20.154734
87,-175,4,206.55,51.6375,30.723953
88,-161,2,34.97,17.485,29.780766
89,-33,17,530.89,31.228823529411763,62.206425
90,-448,2,24.67,12.335,21.573023
91,-455,1,32.54,32.54,20.154734
92,-350,2,53.34,26.67,24.223545
93,-453,2,219.33,109.665,21.483608
94,-454,1,44.1,44.1,20.154734
95,-16,25,1233.5,49.34,63.3827
96,-23,17,1341.18,78.89294117647059,63.239998
97,-4,4,324.75,81.1875,38.839527
98,-313,2,76.46000000000001,38.23,25.286957
99,-106,7,267.25,38.17857142857143,48.843426
